metric,n_queries,median_pairwise_rejection_rate,mean_pairwise_rejection_rate
NWPS,50,0.9666666666666667,0.8377777777777777
NWPS,100,1.0,0.8966666666666667
NWPS,200,1.0,0.9227777777777778
RDQ,50,1.0,0.8527777777777777
RDQ,100,1.0,0.9044444444444444
RDQ,200,1.0,0.9361111111111111
RBO,50,0.8583333333333333,0.708888888888889
RBO,100,0.9833333333333333,0.8516666666666668
RBO,200,1.0,0.9088888888888889
RBA,50,0.9833333333333333,0.7
RBA,100,1.0,0.7911111111111111
RBA,200,1.0,0.8938888888888888
NDCG,50,0.9833333333333333,0.7022222222222222
NDCG,100,1.0,0.7961111111111112
NDCG,200,1.0,0.8766666666666667
