metric,n_queries,mean_kendall_tau_vs_full,p10,p90
NWPS,25,0.9178666666666666,0.7333333333333333,0.9999999999999999
NWPS,50,0.9237333333333332,0.8666666666666666,0.9999999999999999
NWPS,100,0.9365333333333332,0.8666666666666666,0.9999999999999999
NWPS,200,0.9594666666666665,0.8666666666666666,0.9999999999999999
NWPS,400,0.9621333333333332,0.8666666666666666,0.9999999999999999
RDQ,25,0.9258666666666666,0.8666666666666666,0.9999999999999999
RDQ,50,0.9418666666666665,0.8666666666666666,0.9999999999999999
RDQ,100,0.9610666666666666,0.8666666666666666,0.9999999999999999
RDQ,200,0.9855999999999999,0.8666666666666666,0.9999999999999999
RDQ,400,0.9951999999999999,0.9999999999999999,0.9999999999999999
RBO,25,0.8538666666666666,0.7333333333333333,0.9999999999999999
RBO,50,0.9039999999999999,0.7333333333333333,0.9999999999999999
RBO,100,0.9381333333333333,0.8666666666666666,0.9999999999999999
RBO,200,0.9349333333333332,0.8666666666666666,0.9999999999999999
RBO,400,0.9514666666666666,0.8666666666666666,0.9999999999999999
RBA,25,0.8559999999999999,0.7333333333333333,0.9999999999999999
RBA,50,0.9167999999999998,0.7333333333333333,0.9999999999999999
RBA,100,0.9621333333333332,0.8666666666666666,0.9999999999999999
RBA,200,0.9898666666666666,0.9999999999999999,0.9999999999999999
RBA,400,0.9994666666666665,0.9999999999999999,0.9999999999999999
NDCG,25,0.8437333333333332,0.6,0.9999999999999999
NDCG,50,0.912,0.7333333333333333,0.9999999999999999
NDCG,100,0.9519999999999998,0.8666666666666666,0.9999999999999999
NDCG,200,0.9834666666666666,0.8666666666666666,0.9999999999999999
NDCG,400,0.9989333333333331,0.9999999999999999,0.9999999999999999
