metric,system,mean,rank
NWPS,S0_near_exact,0.9800611111086921,1
NWPS,S1_mild,0.9658764138535377,2
NWPS,S2_moderate,0.9270825580729702,3
NWPS,S3_order_drift,0.9247699871509877,4
NWPS,S4_coverage_drift,0.8635968563416134,5
NWPS,S5_severe,0.7851157689129005,6
RDQ,S0_near_exact,0.9831148968916357,1
RDQ,S1_mild,0.9712227532480253,2
RDQ,S2_moderate,0.9380304809814731,4
RDQ,S3_order_drift,0.9434368853581832,3
RDQ,S4_coverage_drift,0.8681453695622724,5
RDQ,S5_severe,0.8053607482432287,6
RBO,S0_near_exact,0.9801470175611658,1
RBO,S1_mild,0.9648544168816647,2
RBO,S2_moderate,0.9260851694175934,3
RBO,S3_order_drift,0.9245130864615189,4
RBO,S4_coverage_drift,0.8620053413267195,5
RBO,S5_severe,0.7845649829426418,6
RBA,S0_near_exact,0.993807178082983,1
RBA,S1_mild,0.9903998550207193,2
RBA,S2_moderate,0.9764118089427626,4
RBA,S3_order_drift,0.9847339845076558,3
RBA,S4_coverage_drift,0.9331194860387043,5
RBA,S5_severe,0.9111069262508277,6
NDCG,S0_near_exact,0.9888700172073558,1
NDCG,S1_mild,0.9823981804658902,2
NDCG,S2_moderate,0.9571163009879785,4
NDCG,S3_order_drift,0.9763905768375776,3
NDCG,S4_coverage_drift,0.8760194286900059,5
NDCG,S5_severe,0.8411297733596075,6
